 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=For mange seere er den 61-årige journalist som kommentator næsten lige så vigtig som selve kampene.
1-1	For	O	
1-2	mange	O	
1-3	seere	B-noun.person	
1-4	er	B-verb.stative	
1-5	den	O	
1-6	61	O	
1-7	-	O	
1-8	årige	B-adj.all	
1-9	journalist	B-noun.person	
1-10	som	O	
1-11	kommentator	B-noun.person	
1-12	næsten	O	
1-13	lige	O	
1-14	så	O	
1-15	vigtig	B-adj.all	
1-16	som	O	
1-17	selve	O	
1-18	kampene	B-noun.act	
1-19	.	O	

#id=2
#text=Deter jo ikke kun den ene vej, forklarer den 32-årige fodboldspiller, som har en kæreste og et barn på seks år.
2-1	Det	O	
2-2	er	O	
2-3	jo	O	
2-4	ikke	O	
2-5	kun	O	
2-6	den	O	
2-7	ene	O	
2-8	vej	O	
2-9	,	O	
2-10	forklarer	O	
2-11	den	O	
2-12	32	O	
2-13	-	O	
2-14	årige	O	
2-15	fodboldspiller	O	
2-16	,	O	
2-17	som	O	
2-18	har	O	
2-19	en	O	
2-20	kæreste	O	
2-21	og	O	
2-22	et	O	
2-23	barn	O	
2-24	på	O	
2-25	seks	O	
2-26	år	O	
2-27	.	O	

#id=3
#text=I dag er han clean, men næsten ti års misbrug har sat sine tydlige spor hos den 34-årige skuespiller.
3-1	I	O	
3-2	dag	O	
3-3	er	O	
3-4	han	O	
3-5	clean	O	
3-6	,	O	
3-7	men	O	
3-8	næsten	O	
3-9	ti	O	
3-10	års	O	
3-11	misbrug	O	
3-12	har	O	
3-13	sat	O	
3-14	sine	O	
3-15	tydlige	O	
3-16	spor	O	
3-17	hos	O	
3-18	den	O	
3-19	34	O	
3-20	-	O	
3-21	årige	O	
3-22	skuespiller	O	
3-23	.	O	

#id=4
#text=Heldagsudflugtenkoster 1995 kr., men så er der også garanti for store oplevelser.
4-1	Heldagsudflugten	O	
4-2	koster	O	
4-3	1995	O	
4-4	kr	O	
4-5	.	O	
4-6	,	O	
4-7	men	O	
4-8	så	O	
4-9	er	O	
4-10	der	O	
4-11	også	O	
4-12	garanti	O	
4-13	for	O	
4-14	store	O	
4-15	oplevelser	O	
4-16	.	O	

#id=5
#text=Det er tophemmeligt, men jeg er simpelthen så glad og lykkelig, fortalte han, da han præsenterede sit sidste nye værk, en bog om Roms små listige sidegaderestauranter på restauranten La Buca i København.
5-1	Det	O	
5-2	er	O	
5-3	tophemmeligt	O	
5-4	,	O	
5-5	men	O	
5-6	jeg	O	
5-7	er	O	
5-8	simpelthen	O	
5-9	så	O	
5-10	glad	O	
5-11	og	O	
5-12	lykkelig	O	
5-13	,	O	
5-14	fortalte	O	
5-15	han	O	
5-16	,	O	
5-17	da	O	
5-18	han	O	
5-19	præsenterede	O	
5-20	sit	O	
5-21	sidste	O	
5-22	nye	O	
5-23	værk	O	
5-24	,	O	
5-25	en	O	
5-26	bog	O	
5-27	om	O	
5-28	Roms	O	
5-29	små	O	
5-30	listige	O	
5-31	sidegaderestauranter	O	
5-32	på	O	
5-33	restauranten	O	
5-34	La	O	
5-35	Buca	O	
5-36	i	O	
5-37	København	O	
5-38	.	O	

#id=6
#text=Sammenmed andre kendisser bakker Noam sagen  op.
6-1	Sammen	O	
6-2	med	O	
6-3	andre	O	
6-4	kendisser	O	
6-5	bakker	O	
6-6	Noam	O	
6-7	sagen	O	
6-8	op	O	
6-9	.	O	

#id=7
#text=Dentidligere poptøs Mel tog ungerne med, da årets træ skulle i hus i Hollywood
7-1	Den	O	
7-2	tidligere	O	
7-3	poptøs	O	
7-4	Mel	O	
7-5	tog	O	
7-6	ungerne	O	
7-7	med	O	
7-8	,	O	
7-9	da	O	
7-10	årets	O	
7-11	træ	O	
7-12	skulle	O	
7-13	i	O	
7-14	hus	O	
7-15	i	O	
7-16	Hollywood	O	

#id=8
#text=Joachimser også frem til, at han sandsynligvis kommer i Folketinget for Liberal Alliance inden for et lille års tid.
8-1	Joachim	O	
8-2	ser	O	
8-3	også	O	
8-4	frem	O	
8-5	til	O	
8-6	,	O	
8-7	at	O	
8-8	han	O	
8-9	sandsynligvis	O	
8-10	kommer	O	
8-11	i	O	
8-12	Folketinget	O	
8-13	for	O	
8-14	Liberal	O	
8-15	Alliance	O	
8-16	inden	O	
8-17	for	O	
8-18	et	O	
8-19	lille	O	
8-20	års	O	
8-21	tid	O	
8-22	.	O	

#id=9
#text=Vi trækker desuden lod om hele første sæson af både "Hun så et mord", "Kojak" og "Magnum P.I.".
9-1	Vi	O	
9-2	trækker	O	
9-3	desuden	O	
9-4	lod	O	
9-5	om	O	
9-6	hele	O	
9-7	første	O	
9-8	sæson	O	
9-9	af	O	
9-10	både	O	
9-11	"	O	
9-12	Hun	O	
9-13	så	O	
9-14	et	O	
9-15	mord	O	
9-16	"	O	
9-17	,	O	
9-18	"	O	
9-19	Kojak	O	
9-20	"	O	
9-21	og	O	
9-22	"	O	
9-23	Magnum	O	
9-24	P	O	
9-25	.	O	
9-26	I	O	
9-27	.	O	
9-28	"	O	
9-29	.	O	

#id=10
#text=Detvar Mads Holgers efterhånden berømte flyvende natklub, Club Jet, der stod bag festivitassen, og kendte som skuespilleren Thure Lindhardt, den tidligere vejrpige Zenta Jønsson og TVværten Stine Kronborg var med, da det gik løs med fest uafbrudt fra lørdag eftermiddag til søndag aften, da flyet igen stod på dansk jord.
10-1	Det	O	
10-2	var	O	
10-3	Mads	O	
10-4	Holgers	O	
10-5	efterhånden	O	
10-6	berømte	O	
10-7	flyvende	O	
10-8	natklub	O	
10-9	,	O	
10-10	Club	O	
10-11	Jet	O	
10-12	,	O	
10-13	der	O	
10-14	stod	O	
10-15	bag	O	
10-16	festivitassen	O	
10-17	,	O	
10-18	og	O	
10-19	kendte	O	
10-20	som	O	
10-21	skuespilleren	O	
10-22	Thure	O	
10-23	Lindhardt	O	
10-24	,	O	
10-25	den	O	
10-26	tidligere	O	
10-27	vejrpige	O	
10-28	Zenta	O	
10-29	Jønsson	O	
10-30	og	O	
10-31	TVværten	O	
10-32	Stine	O	
10-33	Kronborg	O	
10-34	var	O	
10-35	med	O	
10-36	,	O	
10-37	da	O	
10-38	det	O	
10-39	gik	O	
10-40	løs	O	
10-41	med	O	
10-42	fest	O	
10-43	uafbrudt	O	
10-44	fra	O	
10-45	lørdag	O	
10-46	eftermiddag	O	
